Date,High,Low,Volume,Adj Close
2006-08-01,26.63999938964844,25.84000015258789,13128800,26.31999969482422
2006-08-02,26.299999237060547,25.88999938964844,7810400,26.09000015258789
2006-08-03,26.899999618530277,25.899999618530277,6941100,26.690000534057617
2006-08-04,27.59000015258789,26.799999237060547,10252400,27.290000915527344
2006-08-07,27.290000915527344,26.59000015258789,5476400,26.780000686645508
2006-08-08,27.020000457763672,26.190000534057617,7260200,26.36000061035156
2006-08-09,26.700000762939453,26.0,6911200,26.209999084472656
2006-08-10,26.520000457763672,25.8799991607666,6405600,26.489999771118164
2006-08-11,26.43000030517578,25.76000022888184,5115900,26.06999969482422
2006-08-14,27.059999465942383,26.18000030517578,5128000,26.530000686645508
2006-08-15,27.86000061035156,26.6200008392334,8201600,27.770000457763672
2006-08-16,28.13999938964844,27.520000457763672,7636600,27.950000762939453
2006-08-17,29.75,27.82999992370605,9496300,29.09000015258789
2006-08-18,29.229999542236328,28.21999931335449,5998600,29.1200008392334
2006-08-21,28.979999542236328,27.96999931335449,5334900,28.1299991607666
2006-08-22,28.88999938964844,28.049999237060547,4587100,28.3700008392334
2006-08-23,28.88999938964844,27.770000457763672,4726400,28.13999938964844
2006-08-24,28.25,27.540000915527344,4516900,27.96999931335449
2006-08-25,28.229999542236328,27.6200008392334,3542600,28.030000686645508
2006-08-28,29.0,28.270000457763672,6067400,28.90999984741211
2006-08-29,29.71999931335449,28.75,7398100,29.520000457763672
2006-08-30,30.850000381469727,29.479999542236328,11303300,30.670000076293945
2006-08-31,30.989999771118164,30.46999931335449,5947000,30.82999992370605
2006-09-01,31.799999237060547,30.850000381469727,6563200,31.76000022888184
2006-09-05,32.29999923706055,31.239999771118164,7467700,32.22999954223633
2006-09-06,31.979999542236328,30.649999618530277,9114100,30.799999237060547
2006-09-07,30.63999938964844,29.68000030517578,8901700,29.729999542236328
2006-09-08,30.65999984741211,29.940000534057617,5227200,30.51000022888184
2006-09-11,31.1299991607666,29.71999931335449,7403800,30.790000915527344
